name,surname,group,id,Linear Algebra,Statistics,Programming,Calculus,Algebra,Game Theory,Linear Modelling,Information Theory,Big Data,Block Chains,Computer Vision,Neural Networks
Jaida,Gay,A,2389224,45,44,41,70,43,65,91,92,85,80,79,68
Mariela,Giles,A,2351295,77,97,82,49,54,67,80,72,94,62,48,78
Amiyah,Leonard,A,2391222,72,97,81,91,97,98,60,53,41,62,73,89
Yasmine,Noble,A,2392539,42,77,84,99,40,80,55,47,81,82,62,97
Delaney,Porter,A,2352761,72,92,49,85,40,95,59,82,97,80,90,95
Chase,Armstrong,A,2343924,72,68,60,80,98,40,82,73,61,95,84,65
Gavin,Holder,A,2346331,58,77,79,50,91,54,85,89,97,97,88,89
Roger,Sweeney,A,2388505,79,56,43,88,65,91,49,81,56,55,78,98
Barrett,Jarvis,A,2328783,88,40,82,91,83,64,90,60,85,99,80,58
Natalya,Bond,A,2397555,74,60,57,95,76,49,44,80,82,89,67,47
