Name,Surname,Group,ID,Linear Algebra,Statistics,Programming,Calculus,Algebra,Game Theory,Linear Modelling,Information Theory,Big Data,Block Chains,Computer Vision,Neural Networks
Louis,Ware,B,2335540,69,45,62,84,82,62,73,82,52,48,80,95
Ayla,Whitehead,B,2316827,45,46,92,75,75,41,88,44,70,90,46,99
Neil,French,B,2351580,96,95,97,70,78,76,58,52,57,73,72,69
Jefferson,Walton,B,2388920,83,87,69,51,83,71,58,64,75,65,85,83
Skye,Galloway,B,2313606,49,90,90,57,45,42,54,77,69,96,89,53
Leon,Preston,B,2391100,58,95,65,92,68,73,45,83,78,97,43,52
Lilianna,Bryant,B,2341069,65,58,71,49,81,73,82,72,44,98,84,53
Anabella,Guerra,B,2392256,97,85,42,63,86,40,50,47,96,64,50,57
Elena,Chavez,B,2313839,96,93,65,59,71,82,94,96,55,73,41,86
Nicholas,Rice,B,2322666,84,54,95,76,91,74,83,41,71,97,49,49
