,name,surname,group,id,Linear Algebra,Statistics,Programming,Calculus,Algebra,Game Theory,Linear Modelling,Information Theory,Big Data,Block Chains,Computer Vision,Neural Networks
50,Finley , Molina,C,2371669,69,55,70,84,77,61,60,63,96,83,94,81
51,Summer , Morris,C,2369556,44,65,95,50,99,97,94,47,61,90,93,62
52,Anne , Fuentes,C,2388435,74,95,48,80,79,69,53,72,63,92,87,42
53,Cornelius , Ruiz,C,2379529,53,62,52,70,50,90,76,54,77,66,90,79
54,Ava , Shepherd,C,2378565,85,61,59,47,90,41,73,87,87,95,40,60
55,Zackery , Sampson,C,2381455,88,55,99,75,50,41,95,76,81,50,56,79
56,Ross , Tanner,C,2321714,62,59,86,45,51,69,82,83,87,40,54,71
57,Oscar , Long,C,2390057,75,52,99,48,60,53,69,93,86,72,99,77
58,Jadon , Case,C,2325201,92,57,88,54,91,45,69,80,93,42,89,47
59,Chandler , Spence,C,2313759,70,97,54,94,77,95,62,89,70,94,98,52
