Name,Surname,ID,Placement,Company
Jaida,Gay,2379140,False,Speedlight Solutions
Mariela,Giles,2364911,True,Nova Web Works
Amiyah,Leonard,2344147,True,Avatar Tech
Yasmine,Noble,2320504,False,Files And Firewalls
Delaney,Porter,2339276,True,Thrive Technology
Chase,Armstrong,2323729,True,Alphapress App Development
Gavin,Holder,2310512,True,Information Technology House
Roger,Sweeney,2313457,False,Hashtag Web Consultants
Barrett,Jarvis,2346037,True,Modern Technologies
Natalya,Bond,2315048,True,Radioactive Web Works
Axel,Lara,2338166,False,Quest Web Apps
Lillian,Williamson,2380727,True,Revelation It Company
Jude,Luna,2324274,True,Fast & Amazing
Misael,Fitzgerald,2383396,True,Digital Genius
Raquel,Bender,2335331,False,Technokings
Makenna,Craig,2328703,False,Top Ten Tech
Gauge,Fritz,2341727,True,Expressway Ecommerce Ltd
Rory,Thomas,2346935,False,Bytethis App Co
Cruz,Key,2380934,False,Aurora Apps
Matthew,Walton,2319402,True,Neptune & Saturn Tech
Santos,Montoya,2376013,True,Vintage Solutions
Carleigh,Mcguire,2384155,False,Autopilot Software
Joanna,Gross,2341506,False,Exodus Development Co
Saige,Clayton,2379555,False,All Covered Inc
Griffin,Wall,2323709,True,Parallax It Center
Trent,Kelley,2387427,True,Alien 51 Apps
Jalen,Yates,2352671,False,Blue Light Software
Aniyah,Bradford,2315655,True,Interstellar Software
Phillip,Mckinney,2348712,True,Tri Tech Apps
Adolfo,Rose,2361930,False,Omega Tech House
Louis,Ware,2390826,True,World Wide Apps
Ayla,Whitehead,2336348,True,Mouse Marauders
Neil,French,2351329,False,Maxed Out Tech
Jefferson,Walton,2393874,False,Hashtag Web Consultants
Skye,Galloway,2398042,False,High Voltage Technology
Leon,Preston,2395238,False,Sub Zero Apps
Lilianna,Bryant,2389160,True,Burnt City Software
Anabella,Guerra,2392848,True,Trained In Tech
Elena,Chavez,2349820,False,Core Cut
Nicholas,Rice,2328897,False,Element Shows
Lainey,Sampson,2384456,False,Amazing It Center
Laila,Poole,2381257,False,Info Web House
Aidan,Williams,2319072,True,Macro It Solutions
Yadira,Harvey,2354033,False,Basis Technology
Teagan,Spears,2351679,True,Nautics Technology
Bria,Erickson,2378793,False,Encoders & Apps
Cassie,Duran,2394937,True,Coders & Computers
Esteban,Howard,2317534,False,Mad Tech Geeks
Jaden,Jacobson,2373795,False,Big Giant
Maria,Prince,2393613,False,Ascension Apps
Finley,Molina,2313010,True,In Design
Summer,Morris,2380630,False,In Motion
Anne,Fuentes,2342888,False,Buildietech
Cornelius,Ruiz,2321518,True,Micro Madness
Ava,Shepherd,2335495,False,Total Tech
Zackery,Sampson,2371233,True,Aurora Apps
Ross,Tanner,2327214,False,Farley Technology
Oscar,Long,2335911,False,Bass Information Technology
Jadon,Case,2366745,True,Tech Theory
Chandler,Spence,2341610,False,Bar Craft Tech
