Name,Surname,Group,ID,Calculus,Statistics,Linear Algebra,Programming,Information Theory,Databases,Blockchains,Computer Vision,Neural Networks
Jaida,Gay,A,2396551,56,41,72,40,54,64,49,67,96
Mariela,Giles,A,2377479,80,66,70,76,49,89,69,80,61
Amiyah,Leonard,A,2379052,80,44,50,89,50,86,46,90,43
Yasmine,Noble,A,2319830,53,41,74,71,65,64,45,84,53
Delaney,Porter,A,2378851,43,47,45,78,78,98,52,73,61
Chase,Armstrong,A,2399805,43,79,71,95,89,81,59,45,69
Gavin,Holder,A,2359320,79,95,87,69,45,66,69,94,52
Roger,Sweeney,A,2369700,53,43,51,67,80,72,60,99,89
Barrett,Jarvis,A,2399028,81,52,77,68,52,54,60,69,86
Natalya,Bond,A,2366696,72,84,73,82,60,66,44,87,77
