Name,Surname,Group,ID,Calculus,Statistics,Linear Algebra,Programming,Information Theory,Databases,Cryptography,Computer Vision,Neural Networks
Axel,Lara,A,2364733,93,77,68,52,78,47,99,47,92
Lillian,Williamson,A,2362897,95,48,54,87,43,73,73,60,56
Jude,Luna,A,2332904,97,63,60,46,46,86,49,81,89
Misael,Fitzgerald,A,2325675,42,56,77,92,58,47,99,93,49
Raquel,Bender,A,2311569,81,88,91,88,90,85,49,80,96
Makenna,Craig,A,2387280,61,73,90,95,89,88,82,63,49
Gauge,Fritz,A,2329966,82,63,93,73,48,55,89,73,52
Rory,Thomas,A,2367003,82,92,78,45,44,71,58,50,60
Cruz,Key,A,2326316,91,83,98,46,98,78,53,51,43
Matthew,Walton,A,2331533,95,48,68,94,56,93,63,44,84
