Name,Surname,ID,Placement,Company
Jaida,Gay,2314181,True,Speedlight Solutions
Mariela,Giles,2325508,True,Nova Web Works
Amiyah,Leonard,2328412,False,
Yasmine,Noble,2314623,False,
Delaney,Porter,2341060,False,
Chase,Armstrong,2344686,False,
Gavin,Holder,2351237,True,Information Technology House
Roger,Sweeney,2380906,True,Hashtag Web Consultants
Barrett,Jarvis,2353691,False,
Natalya,Bond,2339459,False,
Axel,Lara,2326035,False,
Lillian,Williamson,2343911,True,Revelation It Company
Jude,Luna,2381321,False,
Misael,Fitzgerald,2321307,True,Digital Genius
Raquel,Bender,2323631,True,Technokings
Makenna,Craig,2347147,True,Top Ten Tech
Gauge,Fritz,2336157,False,
Rory,Thomas,2351734,True,Bytethis App Co
Cruz,Key,2366655,True,Aurora Apps
Matthew,Walton,2346229,True,Neptune & Saturn Tech
Santos,Montoya,2367675,True,Vintage Solutions
Carleigh,Mcguire,2373948,True,Autopilot Software
Joanna,Gross,2310732,True,Exodus Development Co
Saige,Clayton,2380565,False,
Griffin,Wall,2379870,False,
Trent,Kelley,2333900,True,Alien 51 Apps
Jalen,Yates,2330973,False,
Aniyah,Bradford,2337757,False,
Phillip,Mckinney,2365637,True,Tri Tech Apps
Adolfo,Rose,2320089,False,
Louis,Ware,2337801,True,World Wide Apps
Ayla,Whitehead,2328063,False,
Neil,French,2386744,False,
Jefferson,Walton,2362522,True,Hashtag Web Consultants
Skye,Galloway,2363314,False,
Leon,Preston,2352025,False,
Lilianna,Bryant,2362028,True,Burnt City Software
Anabella,Guerra,2367930,False,
Elena,Chavez,2397289,False,
Nicholas,Rice,2366004,True,Element Shows
Lainey,Sampson,2349827,True,Amazing It Center
Laila,Poole,2355611,True,Info Web House
Aidan,Williams,2372583,True,Macro It Solutions
Yadira,Harvey,2380593,True,Basis Technology
Teagan,Spears,2396032,True,Nautics Technology
Bria,Erickson,2343715,False,
Cassie,Duran,2394697,True,Coders & Computers
Esteban,Howard,2337192,True,Mad Tech Geeks
Jaden,Jacobson,2367112,True,Big Giant
Maria,Prince,2327573,True,Ascension Apps
Finley,Molina,2334974,True,In Design
Summer,Morris,2346909,False,
Anne,Fuentes,2322917,False,
Cornelius,Ruiz,2347344,False,
Ava,Shepherd,2336371,False,
Zackery,Sampson,2379055,False,
Ross,Tanner,2332178,True,Farley Technology
Oscar,Long,2389377,True,Bass Information Technology
Jadon,Case,2398477,False,
Chandler,Spence,2351185,False,
