Name,Surname,Group,ID,Computational Modelling,Data Presentation,IT Literacy,Advanced Algebra,Game Theory,Blockchains,Times Series,Multivariate Statistics,Natural Language Processing
Edmund,Decker,D,2264200,95,60,52,45,58,79,79,96,57
Joaquin,Palmer,D,2251142,49,55,41,54,71,51,66,68,90
Daniel,Cherry,D,2221860,45,52,87,99,53,82,46,95,76
Walter,Hendrix,D,2210138,40,46,86,45,69,79,68,73,51
Rodrigo,Anthony,D,2220327,95,61,68,43,93,89,88,74,75
Benedict,Ray,D,2252340,90,70,45,41,89,48,65,60,66
Francis,Osborn,D,2266391,95,41,69,41,61,66,89,74,92
Lanny,Richmond,D,2217297,93,90,79,95,72,71,42,83,46
Arnold,Paul,D,2263172,82,55,82,45,40,83,86,89,82
Amado,Ali,D,2255223,40,40,57,60,92,46,99,42,40
Sherry,Mcguire,D,2276933,77,87,77,50,50,52,40,57,55
Tracy,Dominguez,D,2296260,76,91,95,96,86,80,44,69,66
Bret,Flowers,D,2247282,43,72,98,98,75,95,93,45,95
Betsy,Webb,D,2268973,73,41,89,40,49,70,90,72,57
Pete,Suarez,D,2217461,50,43,54,49,43,60,73,80,81
