Name,Surname,Group,ID,Computational Modelling,Data Presentation,IT Literacy,Advanced Algebra,Game Theory,Blockchains,Times Series,Multivariate Statistics,Natural Language Processing
Ofelia,Huerta,F,2281632,59,52,61,97,69,59,78,93,60
Ernesto,Mcclain,F,2278182,94,65,80,51,43,75,62,55,61
Jude,Fry,F,2288592,66,69,55,56,54,82,99,95,64
Abdul,Orozco,F,2283875,61,88,50,80,89,45,61,88,70
Beatriz,Nixon,F,2275039,88,59,85,53,44,50,74,42,43
Serena,Fischer,F,2210440,42,96,93,79,73,62,55,64,77
Luella,Aguirre,F,2293562,69,48,46,57,53,91,68,90,43
Glen,Shepard,F,2225200,79,90,62,84,51,45,82,68,67
Elisabeth,Hale,F,2212084,99,57,41,94,66,71,42,46,70
Mel,Acosta,F,2215758,95,44,55,97,50,96,55,83,93
Colby,Hull,F,2211227,72,65,44,67,87,46,62,88,60
Ila,Dorsey,F,2257007,89,75,81,61,50,49,69,61,97
Summer,Peck,F,2248354,56,86,81,99,58,87,65,58,60
Leslie,Lamb,F,2293172,88,80,62,73,62,94,93,96,41
Aaron,Hays,F,2267496,80,49,87,58,95,94,43,47,81
